sku,product_category,product_type,sku_name,
1,Accessory,Wooden Spoon,Sustainable Wooden Measuring Spoon,
3,Accessory,Frother,Aerolatte Milk Frother - White,
4,Accessory,Frother,Aerolatte Milk Frother - Red,
11,Creamer,Classic Creamer - Large Bag,Birthday Cake - Large Bag (320 g),
12,Creamer,Classic Creamer - Large Bag,Cacao Mocha - Large Bag (320 g),
13,Creamer,Classic Creamer - Large Bag,Hazelnut - Large Bag (320 g),
14,Creamer,Classic Creamer - Large Bag,Vanilla Bean - Large Bag (320 g),
15,Creamer,Classic Creamer - Large Bag,Original - Large Bag (320 g),
16,Creamer,Classic Creamer - Large Bag,Salted Caramel - Large Bag (320 g),
101,Creamer,Classic Creamer - Large Bag,Cinnamon Dolce - Large Bag (320 g),
106,Creamer,Classic Creamer - Large Bag,Sweet Cream - Large Bag (320 g),
1001,Creamer,Classic Creamer - Large Bag,Butter Pecan - Large Bag (320 g),
1002,Creamer,Classic Creamer - Large Bag,Cacao Mocha - Large Bag (320 g),
1004,Creamer,Classic Creamer - Large Bag,French Vanilla - Large Bag (320 g),
1010,Creamer,Classic Creamer - Large Bag,Salted Caramel - Large Bag (320 g),
1012,Creamer,Classic Creamer - Large Bag,Sweet Cream - Large Bag (320 g),
1023,Creamer,Classic Creamer - Large Bag,Cinnamon Dolce - Large Bag (320 g),
206,Creamer,Classic Creamer - Small Bag,Sweet Cream - Small Bag (80 g),
17,Creamer,Limited Edition Creamer - Large Bag,Speculoos Cookie Dough - Large Bag (320 g),
18,Creamer,Limited Edition Creamer - Large Bag,Butter Pecan - Large Bag (320 g),
19,Creamer,Limited Edition Creamer - Large Bag,Pumpkin Spice - Large Bag (320 g),
29,Creamer,Limited Edition Creamer - Large Bag,Pumpkin Spice - Small Bag (80 g),
80,Creamer,Limited Edition Creamer - Large Bag,Winter Edition Variety Pack,
103,Creamer,Limited Edition Creamer - Large Bag,Red Velvet Cake - Large Bag (320 g),
104,Creamer,Limited Edition Creamer - Large Bag,King Cake - Large Bag (320 g),
105,Creamer,Limited Edition Creamer - Large Bag,Blueberry Pancakes - Large Bag (320 g),
107,Creamer,Limited Edition Creamer - Large Bag,Peppermint Mocha - Large Bag (320 g),
109,Creamer,Limited Edition Creamer - Large Bag,Fruit Loops Cereal Milk - Large Bag (320 g),
110,Creamer,Limited Edition Creamer - Large Bag,Irish Cream - Large Bag (320 g),
111,Creamer,Limited Edition Creamer - Large Bag,Samoa Cookie - Large Bag (320 g),
112,Creamer,Limited Edition Creamer - Large Bag,White Chocolate Mocha - Large Bag (320 g),
114,Creamer,Limited Edition Creamer - Large Bag,French Toast - Large Bag (320 g),
115,Creamer,Limited Edition Creamer - Large Bag,Honey Bunches - Large Bag (320 g),
117,Creamer,Limited Edition Creamer - Large Bag,Pistachio Ice Cream - Large Bag (320 g),
118,Creamer,Limited Edition Creamer - Large Bag,Carrot Cake - Large Bag (320 g),
119,Creamer,Limited Edition Creamer - Large Bag,Nutella Latte - Large Bag (320 g),
1003,Creamer,Limited Edition Creamer - Large Bag,French Toast - Large Bag (320 g),
1022,Creamer,Limited Edition Creamer - Large Bag,Blueberry Pancakes - Large Bag (320 g),
1088,Creamer,Limited Edition Creamer - Large Bag,Butterscotch Toffee - Large Bag (320 g),
102-1,Creamer,Limited Edition Creamer - Large Bag,Santas Cookies - Large Bag (320 g),
201,Creamer,Limited Edition Creamer - Small Bag,Cinnamon Dolce - Small Bag (80 g),
203,Creamer,Limited Edition Creamer - Small Bag,Red Velvet Cake - Small Bag (80 g),
204,Creamer,Limited Edition Creamer - Small Bag,King Cake - Small Bag (80 g),
205,Creamer,Limited Edition Creamer - Small Bag,Blueberry Pancakes - Small Bag (80 g),
207,Creamer,Limited Edition Creamer - Small Bag,Peppermint Mocha - Small Bag (80 g),
1089,Creamer,Limited Edition Creamer - Small Bag,Butterscotch Toffee - Small Bag (80 g),
10,Misc,Misc,KetoSweet,
1014,Vegan Creamer,Vegan Creamer - Large Bag,Cacao Mocha (Vegan Oat Creamer) - Large Bag (320 g),
1015,Vegan Creamer,Vegan Creamer - Large Bag,Butter Pecan (Vegan Oat Creamer) - Large Bag (320 g),
21,Creamer,Classic Creamer - Small Bag,Birthday Cake - Small Bag (80 g),
22,Creamer,Classic Creamer - Small Bag,Cacao Mocha - Small Bag (80 g),
23,Creamer,Classic Creamer - Small Bag,Hazelnut - Small Bag (80 g),
24,Creamer,Classic Creamer - Small Bag,French Vanilla - Small Bag (80 g),
25,Creamer,Classic Creamer - Small Bag,Original - Small Bag (80 g),
26,Creamer,Classic Creamer - Small Bag,Salted Caramel - Small Bag (80 g),
27,Creamer,Limited Edition Creamer - Small Bag,Speculoos Cookie Dough - Small Bag (80 g,
28,Creamer,Classic Creamer - Small Bag,Butter Pecan - Small Bag (80 g),
29459319291946,Accessory,Frother,Aerolatte Milk Frother - Black,
301,Variety Pack,Variety Pack - Kickstart,Kickstart Bundle,
30714893041706,Creamer,Limited Edition Creamer - Small Bag,Peppermint Mocha - Small Bag (80 g),
31,Variety Pack,Variety Pack,Variety Sampler Pack,
35,Variety Pack,Variety Pack - Kickstart,Ltd Offer Kickstart Bundle,
39572034256974,Merch,Clothing,Premium Crew Neck Pursuit of Sweetness - S,
39572034289742,Merch,Clothing,Premium Crew Neck Pursuit of Sweetness - S,
39572034322510,Merch,Clothing,Premium Crew Neck Pursuit of Sweetness - S,
39572034355278,Merch,Clothing,Premium Crew Neck Pursuit of Sweetness - M,
39572034388046,Merch,Clothing,Premium Crew Neck Pursuit of Sweetness - M,
39572034486350,Merch,Clothing,Premium Crew Neck Pursuit of Sweetness - M,
39572034551886,Merch,Clothing,Premium Crew Neck Pursuit of Sweetness - L,
39572034617422,Merch,Clothing,Premium Crew Neck Pursuit of Sweetness - L,
